"Страна","Общий индекс конкурентоспособности в сфере туризма","Индекс бизнес-среды","Индекс безопасности","Индекс здоровья и гигиены","Индекс ценовой конкурентноспособности","Качество автомобильных дорог"
"Малайзия","4.50","5.41","5.75","5.16","6.06","5.5"
"Мали","2.78","4.08","3.59","2.56","4.99","3.2"
"Мальдивы","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Мальта","4.25","4.75","5.92","6.35","4.44","3.2"
"Марокко","3.81","4.69","6.14","4.57","5.19","4.4"
"Маршалловы Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Мексика","4.54","4.18","4.16","5.26","4.92","4.3"
"Микронезия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Мозамбик","2.91","4.23","4.57","1.83","4.63","2.4"
"Молдавия","3.09","3.81","5.42","6.13","5.38","2.5"
"Монако","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Монголия","3.31","4.41","5.65","5.82","5.72","3.0"
"Мьянма","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Намибия","3.59","4.90","5.24","3.52","5.38","5.2"
"Науру","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Непал","3.28","4.07","4.85","5.01","5.58","2.8"
"Нигер","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Нигерия","2.82","4.31","3.10","2.68","4.88","2.6"
"Нидерланды","4.64","5.50","6.14","6.23","4.13","6.1"
"Никарагуа","3.44","3.49","5.44","4.60","5.05","3.6"
"Новая Зеландия","4.68","5.65","6.31","5.72","4.38","4.5"
"Норвегия","4.64","5.56","6.41","6.31","3.69","4.1"
"ОАЭ","4.49","5.85","6.60","5.44","5.02","6.5"
"Оман","3.78","5.11","6.49","5.43","5.48","5.5"
"Пакистан","2.89","3.94","3.10","4.53","5.43","3.8"
"Палау","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Палестина","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Панама","4.37","4.94","5.31","5.14","5.18","4.5"
"Папуа - Новая Гвинея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Парагвай","3.15","4.29","4.69","5.02","4.96","2.2"
"Перу","4.04","4.31","4.49","4.80","3.83","3.0"
"Польша","4.11","4.47","5.70","6.25","5.50","4.0"
"Португалия","4.74","4.63","6.32","6.25","4.83","5.9"
"Россия","4.15","4.09","4.31","6.70","5.75","2.8"
"Руанда","3.36","5.09","6.39","3.79","4.80","5.0"
"Румыния","3.78","4.36","5.78","6.14","4.68","2.6"
"Сальвадор","3.28","4.02","3.02","4.94","4.85","3.9"
"Самоа","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сан-Марино","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сан-Томе и Принсипи","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Саудовская Аравия","3.82","5.20","5.51","5.58","5.62","4.9"
"Северная Корея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сейшельские Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сенегал","3.14","4.24","5.45","3.63","3.75","4.1"
"Сент-Винсент и Гренадины","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сент-Китс и Невис","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сент-Люсия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сербия","3.38","4.02","5.41","6.04","4.82","2.9"
"Сингапур","4.85","6.07","6.45","5.45","4.65","6.3"
"Сирия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Словакия","3.90","4.01","5.61","6.50","4.95","4.1"
"Словения","4.18","4.33","6.20","6.03","4.63","4.4"
"Соломоновы Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Сомали","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Судан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Суринам","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"США","5.12","5.44","5.23","5.71","4.36","5.6"
"Сьерра-Леоне","2.69","4.16","5.14","2.34","4.49","2.8"
"Таджикистан","3.18","4.27","5.68","5.68","4.68","4.1"
"Таиланд","4.38","4.74","4.00","4.90","5.61","4.2"
"Танзания","3.45","4.15","5.05","2.93","5.35","3.4"
"Того","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Тонга","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Тринидад и Тобаго","3.67","4.39","4.09","5.14","4.83","4.1"
"Тувалу","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Тунис","3.50","4.45","4.68","5.18","5.89","3.5"
"Туркмения","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Турция","4.14","4.49","4.05","5.43","4.86","5.0"
"Уганда","3.20","4.28","4.61","2.75","4.97","3.5"
"Узбекистан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Украина","3.50","3.71","3.51","6.63","5.19","2.4"
"Уругвай","3.61","4.62","5.47","5.97","3.97","3.2"
"Фиджи","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Филиппины","3.60","4.32","3.56","4.79","5.51","3.1"
"Финляндия","4.40","5.65","6.65","6.29","4.26","5.7"
"Франция","5.32","4.74","5.43","6.52","4.12","6.0"
"Хорватия","4.42","4.01","6.09","6.38","4.45","5.5"
"ЦАР","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Чад","2.52","2.93","3.74","2.89","4.88","2.6"
"Черногория","3.68","4.36","5.37","5.80","4.82","3.2"
"Чехия","4.22","4.46","5.92","6.69","4.90","4.1"
"Чили","4.06","4.98","5.72","5.19","5.28","5.0"
"Швейцария","4.94","6.00","6.41","6.53","2.81","6.0"
"Швеция","4.55","5.46","6.22","6.11","4.05","5.3"
"Шри-Ланка","3.81","4.69","5.53","5.28","5.55","4.7"
"Эквадор","3.91","3.90","5.20","5.06","5.10","5.1"
"Экваториальная Гвинея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Эритрея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Эсватини","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Эстония","4.23","5.23","6.26","6.27","5.07","4.7"
"Эфиопия","3.10","3.96","4.90","4.47","4.92","3.7"
"ЮАР","4.01","5.28","3.93","3.77","5.25","5.0"
"Южная Корея","4.57","4.75","5.82","6.35","4.66","5.6"
"Южный Судан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных"
"Ямайка","3.71","4.77","3.98","4.68","3.97","3.8"
"Япония","5.26","5.31","6.07","6.43","4.61","6.1"
